station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Garudeshwar,21.89,73.65,0.01,0.005,0.04,0.006,0.001,0.019,1.84,3.847,0.34,0.191,0.038,0.131,0.013,0.005,0.64,0.068,0.01
MOTINAROLI,21.23777778,72.96333333,0.014,0.003,0.014,0.015,0.001,0.017,1.903,4.041,0.22,0.148,0.035,0.275,0.017,0.007,0.918,0.028,0.01
CHANWADA,22.05,73.46527778,0.008,0.003,0.031,0.011,0.001,0.015,0.997,1.166,0.281,0.09,0.017,0.357,0.019,0.006,0.889,0.07,0.01
Khanpur,22.535,73.14027778,0.012,0.003,0.043,0.01,0.001,0.021,0.551,1.972,0.178,0.073,0.048,0.302,0.011,0.003,0.536,0.058,0.01
Shetrunji at Lowara,21.44398,71.56131472,0.019,0.001,0.016,0.019,0.002,0.021,1.207,1.248,0.165,0.186,0.056,0.206,0.006,0.005,0.656,0.057,0.01
Narmada at Garudeshwar,21.88333333,73.65,0.019,0.002,0.07,0.019,0.002,0.021,1.796,4.022,0.336,0.083,0.017,0.215,0.014,0.006,0.964,0.034,0.01
Derol Bridge,23.57527778,72.80638889,0.008,0.002,0.069,0.01,0.001,0.012,0.954,3.523,0.306,0.058,0.054,0.223,0.017,0.001,0.541,0.055,0.01
Vautha,22.65027778,72.535,0.006,0.003,0.026,0.016,0.001,0.013,1.169,1.459,0.346,0.106,0.057,0.277,0.016,0.003,0.591,0.012,0.01
GADAT,20.85611111,72.98472222,0.008,0.004,0.048,0.016,0.002,0.015,1.722,4.473,0.116,0.066,0.025,0.152,0.018,0.003,0.536,0.031,0.01
Chitrasani -Duplicate,24.28888889,72.49833333,0.006,0.003,0.065,0.009,0.001,0.02,0.638,1.543,0.403,0.189,0.025,0.162,0.007,0.001,0.886,0.031,0.01
VAPI,20.37,72.88,0.016,0.002,0.05,0.009,0.001,0.017,1.394,3.774,0.25,0.112,0.031,0.173,0.017,0.006,0.895,0.049,0.01
Kamalpur,23.80833333,71.74416667,0.009,0.001,0.058,0.018,0.002,0.025,1.43,3.212,0.175,0.168,0.047,0.248,0.019,0.004,0.525,0.019,0.01
PINGALWADA,22.11083333,73.07861111,0.017,0.004,0.055,0.015,0.001,0.021,1.55,2.367,0.461,0.191,0.023,0.211,0.018,0.002,0.541,0.022,0.01
Ganod,21.66555556,70.18083333,0.012,0.001,0.022,0.007,0.001,0.016,1.474,2.423,0.208,0.185,0.024,0.259,0.006,0.005,0.987,0.063,0.01
MAHUWA,21.01444444,73.14027778,0.006,0.005,0.054,0.01,0.001,0.017,1.712,2.117,0.331,0.135,0.024,0.322,0.008,0.003,0.663,0.044,0.01
Lowara,21.44388889,71.56027778,0.018,0.002,0.045,0.017,0.002,0.023,1.421,3.719,0.139,0.061,0.031,0.286,0.008,0.006,0.671,0.047,0.01
CHANDAPUR(UCHHAL),21.47722222,74.19555556,0.017,0.003,0.076,0.011,0.001,0.029,1.416,4.105,0.447,0.088,0.055,0.143,0.009,0.006,0.526,0.063,0.01
Umargaon,20.19166667,72.75,0.009,0.005,0.013,0.019,0.001,0.026,0.72,4.822,0.482,0.14,0.021,0.368,0.006,0.003,0.547,0.034,0.01
Tumb,20.21666667,72.84166667,0.013,0.004,0.039,0.012,0.001,0.018,0.838,3,0.39,0.115,0.023,0.283,0.012,0.001,0.53,0.036,0.01
Dahli (bhilad),20.25833333,72.88333333,0.01,0.002,0.068,0.018,0.002,0.02,1.395,3.049,0.428,0.064,0.036,0.135,0.019,0.006,0.544,0.054,0.01
Huda,20.29083333,73.40888889,0.008,0.003,0.069,0.012,0.002,0.023,0.623,3.485,0.361,0.15,0.066,0.21,0.005,0.006,0.857,0.036,0.01
Fali,20.31305556,73.37611111,0.014,0.005,0.071,0.006,0.002,0.027,1.907,3.885,0.414,0.192,0.023,0.165,0.009,0.004,0.626,0.035,0.01
Kanadu,20.325,72.84166667,0.014,0.002,0.032,0.012,0.002,0.028,1.977,4.027,0.442,0.052,0.037,0.117,0.008,0.002,0.801,0.019,0.01
Chavshala,20.32833333,73.32583333,0.015,0.003,0.041,0.01,0.001,0.021,1.277,4.05,0.117,0.093,0.017,0.267,0.019,0.005,0.62,0.048,0.01
Kaparda,20.34166667,73.21666667,0.01,0.002,0.04,0.006,0.002,0.028,1.645,2.794,0.402,0.187,0.056,0.259,0.009,0.007,0.553,0.069,0.01
Motaponda,20.35833333,73.03333333,0.013,0.005,0.055,0.009,0.001,0.022,1.301,2.054,0.375,0.118,0.044,0.145,0.006,0.001,0.896,0.065,0.01
Karwad,20.3625,72.975,0.007,0.005,0.038,0.011,0.001,0.025,0.849,2.509,0.44,0.171,0.04,0.114,0.009,0.003,0.74,0.044,0.01
Mandwa,20.36666667,73.175,0.006,0.003,0.021,0.011,0.001,0.021,0.69,1.175,0.296,0.165,0.064,0.12,0.019,0.004,0.571,0.056,0.01
Jempore,20.37777778,72.82694444,0.009,0.003,0.059,0.005,0.001,0.03,0.572,2.916,0.129,0.065,0.027,0.141,0.009,0.003,0.855,0.018,0.01
Vapi Balitha,20.38027778,72.90444444,0.006,0.005,0.012,0.013,0.001,0.026,1.214,2.074,0.199,0.155,0.069,0.205,0.005,0.003,0.524,0.059,0.01
Ambawadi,20.40277778,72.84444444,0.007,0.002,0.045,0.016,0.001,0.024,0.504,4.887,0.487,0.174,0.055,0.29,0.005,0.006,0.672,0.013,0.01
Warkund,20.40805556,72.85972222,0.01,0.004,0.052,0.009,0.001,0.01,1.468,2.122,0.471,0.094,0.04,0.286,0.019,0.002,0.76,0.027,0.01
Dabhel,20.41111111,72.88611111,0.017,0.004,0.037,0.02,0.002,0.02,1.423,1.231,0.435,0.074,0.064,0.383,0.008,0.005,0.972,0.051,0.01
Nanaponda,20.41388889,73.12083333,0.014,0.003,0.038,0.012,0.001,0.018,0.798,1.73,0.39,0.151,0.059,0.128,0.014,0.006,0.731,0.021,0.01
Khariwad daman,20.425,72.84583333,0.013,0.003,0.073,0.007,0.002,0.03,1.096,2.149,0.342,0.189,0.061,0.313,0.007,0.003,0.615,0.051,0.01
Morwad,20.43527778,72.83111111,0.015,0.002,0.051,0.018,0.001,0.017,1.31,3.474,0.219,0.089,0.01,0.216,0.011,0.005,0.805,0.033,0.01
Dalwada,20.44305556,72.85194444,0.019,0.003,0.037,0.005,0.001,0.022,1.56,1.596,0.485,0.124,0.015,0.134,0.01,0.006,0.72,0.049,0.01
Bhimpor k.falia,20.45833333,72.87083333,0.007,0.001,0.073,0.016,0.002,0.026,0.961,3.117,0.377,0.15,0.066,0.102,0.005,0.001,0.787,0.032,0.01
Udwada,20.46361111,72.91805556,0.016,0.003,0.054,0.017,0.001,0.022,1.044,3.037,0.163,0.145,0.066,0.201,0.013,0.002,0.607,0.011,0.01
Lakadmal,20.46666667,73.15833333,0.018,0.002,0.055,0.011,0.001,0.021,0.537,3.86,0.25,0.126,0.051,0.16,0.015,0.001,0.566,0.066,0.01
Awadha,20.51666667,73.2875,0.017,0.002,0.05,0.005,0.002,0.018,1.756,2.91,0.199,0.192,0.068,0.254,0.02,0.002,0.995,0.051,0.01
Dharampur 3,20.53083333,73.1625,0.012,0.004,0.054,0.016,0.001,0.029,1.91,1.93,0.109,0.167,0.051,0.156,0.012,0.003,0.573,0.065,0.01
Malegaon,20.6,73.74583333,0.019,0.003,0.043,0.006,0.001,0.018,1.301,3.763,0.239,0.172,0.041,0.244,0.017,0.002,0.778,0.056,0.01
Anklas,20.61944444,73.26666667,0.009,0.002,0.048,0.009,0.002,0.023,0.806,4.131,0.342,0.056,0.052,0.338,0.007,0.004,0.998,0.034,0.01
Khergam,20.63333333,73.09583333,0.011,0.005,0.018,0.02,0.001,0.015,1.559,4.065,0.426,0.118,0.05,0.307,0.015,0.002,0.689,0.035,0.01
Jakana,20.63333333,73.74583333,0.018,0.003,0.079,0.016,0.002,0.011,1.78,4.924,0.37,0.12,0.024,0.132,0.018,0.006,0.882,0.01,0.01
Chinchpada,20.6375,73.775,0.013,0.002,0.025,0.007,0.002,0.016,1.984,4.58,0.302,0.154,0.064,0.107,0.02,0.006,0.689,0.054,0.01
Gadad,20.6375,73.775,0.013,0.004,0.056,0.006,0.001,0.025,1.339,3.933,0.108,0.07,0.016,0.306,0.011,0.006,0.887,0.052,0.01
Bari Pada,20.64,73.69138889,0.013,0.002,0.055,0.016,0.001,0.026,0.954,4.162,0.285,0.076,0.041,0.179,0.019,0.002,0.939,0.033,0.01
Bari pada,20.64166667,73.69166667,0.005,0.004,0.035,0.019,0.002,0.012,1.581,4.551,0.467,0.159,0.066,0.33,0.012,0.001,0.851,0.023,0.01
Dhumkal,20.64583333,73.79166667,0.009,0.001,0.078,0.006,0.001,0.017,1.177,2.285,0.433,0.128,0.012,0.305,0.005,0.003,0.898,0.057,0.01
Panikhadak,20.64916667,73.16694444,0.016,0.002,0.051,0.006,0.001,0.022,0.67,2.659,0.169,0.066,0.022,0.14,0.01,0.001,0.765,0.018,0.01
Chikhli,20.65833333,73.6875,0.015,0.004,0.01,0.005,0.001,0.021,1.181,2.05,0.268,0.177,0.021,0.334,0.014,0.003,0.61,0.029,0.01
Manav Khadak,20.67416667,73.23333333,0.007,0.004,0.08,0.014,0.001,0.018,1.156,1.957,0.477,0.056,0.022,0.303,0.016,0.001,0.514,0.056,0.01
Pipalkhed,20.675,73.28333333,0.008,0.003,0.051,0.016,0.001,0.012,1.813,2.65,0.143,0.14,0.015,0.331,0.01,0.006,0.881,0.045,0.01
Umberpada,20.68333333,73.725,0.007,0.004,0.065,0.007,0.001,0.029,1.025,2.02,0.49,0.069,0.057,0.144,0.016,0.004,0.623,0.061,0.01
Rumla,20.68916667,73.15888889,0.019,0.005,0.031,0.016,0.001,0.024,1.395,3.253,0.18,0.052,0.03,0.386,0.007,0.004,0.955,0.061,0.01
Aherdi,20.69166667,73.61666667,0.014,0.003,0.059,0.013,0.001,0.02,0.776,4.798,0.444,0.09,0.053,0.191,0.01,0.003,0.654,0.022,0.01
Nana pada,20.7,73.58333333,0.013,0.003,0.043,0.018,0.001,0.018,0.844,4.158,0.195,0.182,0.032,0.156,0.018,0.002,0.817,0.039,0.01
Gomtimata,20.70833333,70.87638889,0.012,0.005,0.026,0.02,0.001,0.014,1.727,1.764,0.411,0.107,0.016,0.265,0.019,0.006,0.517,0.019,0.01
Diu,20.71472222,70.94861111,0.013,0.005,0.043,0.018,0.001,0.016,1.325,1.937,0.265,0.127,0.055,0.291,0.006,0.002,0.504,0.018,0.01
Sakarpatal,20.71944444,73.55694444,0.015,0.002,0.071,0.011,0.002,0.024,0.88,2.935,0.466,0.189,0.034,0.182,0.016,0.002,0.97,0.022,0.01
Jalawadi,20.72166667,70.93305556,0.011,0.004,0.066,0.02,0.001,0.015,1.838,3.348,0.31,0.103,0.04,0.398,0.011,0.005,0.827,0.041,0.01
Kaliyari,20.725,73.15,0.01,0.003,0.073,0.014,0.001,0.03,0.54,3.304,0.368,0.147,0.034,0.346,0.013,0.006,0.938,0.01,0.01
Jamalpada,20.73166667,73.52055556,0.017,0.002,0.069,0.005,0.002,0.022,1.421,3.685,0.208,0.136,0.043,0.102,0.019,0.004,0.762,0.05,0.01
Hond,20.73888889,73.04583333,0.01,0.003,0.062,0.016,0.001,0.019,0.514,1.78,0.267,0.135,0.054,0.119,0.006,0.005,0.614,0.057,0.01
Ahwa1,20.75833333,73.68333333,0.008,0.002,0.044,0.007,0.002,0.016,0.764,3.3,0.238,0.191,0.056,0.124,0.02,0.007,0.939,0.066,0.01
